ID,N_VICTIMAS,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO,FECHA_Y_HORA,FATAL
1000,1,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-58.47533969,-34.68757022,MOTO,AUTO,2016-01-01 04:00:00,True
1001,1,AV GRAL PAZ  Y AV DE LOS CORRALES,AUTOPISTA,9,-58.50877521,-34.66977709,AUTO,PEATON,2016-01-02 01:15:00,True
1002,1,AV ENTRE RIOS 2034,AVENIDA,1,-58.39040293,-34.63189362,MOTO,AUTO,2016-01-03 07:00:00,True
1003,1,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,-58.46503904,-34.68092974,MOTO,SD,2016-01-10 00:00:00,True
1004,1,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,1,-58.38718297,-34.62246630,MOTO,PEATON,2016-01-21 05:20:00,True
1005,1,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,2016-01-24 18:30:00,True
1006,1,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,-58.50095869,-34.60825440,MOTO,AUTO,2016-01-24 19:10:00,True
1007,1,AV GENERAL PAZ Y AV DE LOS CORRALES,AUTOPISTA,9,-58.50877521,-34.66977709,MOTO,AUTO,2016-01-29 15:20:00,True
1008,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,-58.38048577,-34.61303893,MOTO,CAMION,2016-02-08 01:20:00,True
1009,1,AV ENTRE RIOS 1366,AVENIDA,1,-58.39114932,-34.62477387,PEATON,AUTO,2016-02-10 11:30:00,True
1010,1,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,-58.43760020,-34.59912758,PEATON,AUTO,2016-02-14 05:14:00,True
1011,1,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,-58.36882665,-34.64291993,MOTO,AUTO,2016-02-14 22:00:00,True
1012,1,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,-58.44989671,-34.65970435,PEATON,MOTO,2016-02-15 16:54:00,True
1013,1,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,9,-58.50990884,-34.65468721,PEATON,PEATON,2016-02-17 09:30:00,True
1014,1,SUIPACHA 156,CALLE,1,-58.37952223,-34.60653282,PEATON,AUTO,2016-02-17 16:00:00,True
1015,1,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,-58.45157703,-34.63063795,AUTO,AUTO,2016-02-17 23:35:00,True
1016,1,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,-58.38144696,-34.61079875,MOTO,AUTO,2016-02-21 06:00:00,True
