ID,N_VICTIMAS,LUGAR_DEL_HECHO,COMUNA,TIPO_DE_CALLE,LONGITUD,LATITUD,VICTIMA,ACUSADO,FATAL,FECHA_Y_HORA
2000,1,"OBLIGADO RAFAEL, AV.COSTANERA 3300, BARRIO: PALERMO  , JURISDICCIÓN COMISARIA:  VECINAL 14C",14,CALLE,-58.408911,-34.559658,CICLISTA,PEATON,False,2019-01-01 09:00:00
2001,1,"AUTOPISTA PRESIDENTE HÉCTOR J. CÁMPORA Y ROCA, CNEL. AV. 0, BARRIO: VILLA SOLDATI  , JURISDICCIÓN COMISARIA:  VECINAL 8B",8,CALLE,-58.44351,-34.669125,AUTO,PEATON,False,2019-01-01 01:55:00
2002,1,"BARROS PAZOS, JOSE Y LARRAYA 0, BARRIO: VILLA LUGANO  , JURISDICCIÓN COMISARIA:  VECINAL 8A",8,AVENIDA,-58.468335,-34.677556,SD,SD,False,2019-01-01 02:00:00
2003,1,"TORRES Y TENORIO, PRES. Y RIESTRA AV. 0, BARRIO: PARQUE CHACABUCO INTERIOR PASAJE ROLDAN, ALTURA EDIFICIO 25 BARRIO RIVADAVIA 1 , JURISDICCIÓN COMISARIA:  VECINAL 7B",7,AVENIDA,-58.437425,-34.647349,PEATON,MOTO,False,2019-01-01 02:30:00
2004,4,"CORRIENTES AV. Y URIBURU JOSE E., PRES. 0, BARRIO: BALVANERA  , JURISDICCIÓN COMISARIA:  VECINAL 3A",3,CALLE,-58.398225,-34.604579,AUTO,SD,False,2019-01-01 04:30:00
2005,2,"CORDOBA AV. Y HUMBOLDT 0, BARRIO: CHACARITA  , JURISDICCIÓN COMISARIA:  VECINAL 15A",15,AVENIDA,-58.439392,-34.588108,MOTO,PEATON,False,2019-01-01 08:05:00
2006,1,"SAN MARTIN AV. Y PAZ, GRAL. AV. 0, BARRIO: VILLA DEVOTO  , JURISDICCIÓN COMISARIA:  VECINAL 11B",11,AVENIDA,-58.519116,-34.589282,MOTO,PEATON,False,2019-01-01 07:30:00
2007,1,"PAZ, GRAL. AV. Y CHAVEZ, JORGE 0, BARRIO: LINIERS  , JURISDICCIÓN COMISARIA:  VECINAL 9B",9,CALLE,-58.528413,-34.650156,AUTO,PEATON,False,2019-01-01 07:15:00
2008,1,"CORDOBA AV. Y ALEM, LEANDRO N. AV. 0, BARRIO: RETIRO  , JURISDICCIÓN COMISARIA:  VECINAL 1A",1,AVENIDA,-58.371488,-34.598416,MOTO,CICLISTA,False,2019-01-01 09:36:00
2009,1,"IGUAZU 946, BARRIO: NUEVA POMPEYA  , JURISDICCIÓN COMISARIA:  VECINAL 4B",4,CALLE,-58.404748,-34.648387,AUTO,PEATON,False,2019-01-01 12:24:00
2010,1,"RIESTRA AV. Y RIVERA INDARTE AV. 0, BARRIO: FLORES  , JURISDICCIÓN COMISARIA:  VECINAL 7A",7,CALLE,-58.442125,-34.649498,AUTO,PEATON,False,2019-01-01 12:02:00
2011,3,"PAZ, GRAL. AV. Y GUTIERREZ, RICARDO 0, BARRIO: VILLA DEVOTO  , JURISDICCIÓN COMISARIA:  VECINAL 11B",11,AVENIDA,-58.524662,-34.603255,AUTO,PEATON,False,2019-01-01 13:40:00
2012,1,"VIEYTES 1570, BARRIO: BARRACAS  , JURISDICCIÓN COMISARIA:  VECINAL 4D",4,AVENIDA,-58.376137,-34.651461,SD,SD,False,2019-01-01 13:00:00
2013,1,"RAMOS MEJIA, JOSE MARIA, DR. AV. Y GILARDI, GILARDO 0, BARRIO: RETIRO  , JURISDICCIÓN COMISARIA:  VECINAL 1A",1,AVENIDA,-58.374154,-34.591108,SD,SD,False,2019-01-01 19:46:00
2014,1,"LEGUIZAMON, MARTINIANO Y ALBERDI, JUAN BAUTISTA AV. 0, BARRIO: MATADEROS  , JURISDICCIÓN COMISARIA:  VECINAL 9A",9,CALLE,-58.505709,-34.654463,AUTO,SD,False,2019-01-01 18:30:00
2015,1,"DE LOS CONSTITUYENTES AV. Y TARTAGAL PJE. 0, BARRIO: VILLA PUEYRREDON  , JURISDICCIÓN COMISARIA:  VECINAL 12B",12,AVENIDA,-58.490436,-34.583403,MOTO,PEATON,False,2019-01-01 18:50:00
2016,1,"BRAGADO 7185, BARRIO: MATADEROS  , JURISDICCIÓN COMISARIA:  VECINAL 9A",9,CALLE,-58.512313,-34.661307,AUTO,SD,False,2019-01-01 21:46:00
2017,1,"URIBURU JOSE E., PRES. Y PARAGUAY 0, BARRIO: RECOLETA  , JURISDICCIÓN COMISARIA:  VECINAL 2B",2,AVENIDA,-58.399038,-34.598285,SD,SD,False,2019-01-01 03:00:00
2018,1,"SAN MARTIN 299, BARRIO: SAN NICOLAS  , JURISDICCIÓN COMISARIA:  VECINAL 1D",1,AVENIDA,-58.373748,-34.604635,CICLISTA,PEATON,False,2019-01-02 15:27:00
2019,1,"AU 25 DE MAYO ALTURA LA PLATA MANO AL CENTRO , BARRIO: BOEDO  , JURISDICCIÓN COMISARIA:",5,AVENIDA,-58.410506999999996,-34.6138095,MOTO,CICLISTA,False,2019-01-02 07:01:00
2020,5,"RIVADAVIA AV. Y HORTIGUERA 0, BARRIO: CABALLITO  , JURISDICCIÓN COMISARIA:  VECINAL 6B",6,CALLE,-58.447266,-34.622984,TRANSPORTE_PUBLICO,PEATON,False,2019-01-02 08:30:00
2021,1,"MAZA E INDEPENDENCIA AV., BARRIO: BOEDO  , JURISDICCIÓN COMISARIA:  VECINAL 5B",5,AUTOPISTA,-58.415098,-34.620858,AUTO,SD,False,2019-01-02 12:00:00
2022,1,"ALEM, LEANDRO N. AV. Y ALVEAR, MARCELO T. DE 0, BARRIO: RETIRO  , JURISDICCIÓN COMISARIA:  VECINAL 1A",1,CALLE,-58.37226,-34.596132,SD,SD,False,2019-01-02 13:22:00
2023,1,"CABILDO AV. 1287, BARRIO: PALERMO  , JURISDICCIÓN COMISARIA:  VECINAL 14B",14,CALLE,-58.448666,-34.567927,PEATON,TRANSPORTE_PUBLICO,False,2019-01-02 12:32:00
2024,1,"PEDRAZA, MANUELA Y AMENABAR 0, BARRIO: NUÑEZ  , JURISDICCIÓN COMISARIA:  VECINAL 13B",13,CALLE,-58.468124,-34.552719,MOTO,CICLISTA,False,2019-01-02 13:57:00
2025,1,"ALEM, LEANDRO N. AV. Y ALVEAR, MARCELO T. DE 0, BARRIO: RETIRO  , JURISDICCIÓN COMISARIA:  VECINAL 1A",1,AVENIDA,-58.37226,-34.596132,MOTO,PEATON,False,2019-01-02 14:09:00
2026,1,"PAZ, GRAL. AV. 1018, BARRIO: NUÑEZ  , JURISDICCIÓN COMISARIA:  VECINAL 13B",13,CALLE,-58.474535,-34.53838,SD,SD,False,2019-01-02 05:15:00
2027,1,"COLONIA AV. Y USPALLATA 0, BARRIO: PARQUE PATRICIOS  , JURISDICCIÓN COMISARIA:  VECINAL 4A",4,AVENIDA,-58.398009,-34.638178,SD,SD,False,2019-01-02 15:18:00
2028,1,"DE LA TORRE, LISANDRO 5475, BARRIO: VILLA RIACHUELO  , JURISDICCIÓN COMISARIA:  VECINAL 8C",8,CALLE,-58.464704,-34.690814,SD,SD,False,2019-01-02 17:14:00
2029,2,"RIOBAMBA Y RIVADAVIA AV. 0, BARRIO: BALVANERA  , JURISDICCIÓN COMISARIA:  VECINAL 3A",3,AVENIDA,-58.39338,-34.609275,SD,SD,False,2019-01-02 19:50:00
2030,1,"ALEM, LEANDRO N. AV. Y MITRE, BARTOLOME 0, BARRIO: SAN NICOLAS  , JURISDICCIÓN COMISARIA:  VECINAL 1D",1,AVENIDA,-58.370261,-34.606522,SD,SD,False,2019-01-02 23:29:00
2031,1,"RAMOS MEJIA, JOSE MARIA, DR. AV. 1500, BARRIO: RETIRO  , JURISDICCIÓN COMISARIA:  VECINAL 1A",1,AVENIDA,-58.373281,-34.590127,AUTO,PEATON,False,2019-01-02 07:15:00
2032,1,"VIALE, LUIS 1802, BARRIO: VILLA GRAL. MITRE  , JURISDICCIÓN COMISARIA:  VECINAL 11A",11,CALLE,-58.461782,-34.612442,SD,SD,False,2019-01-02 15:30:00
2033,1,"PI Y MARGALL 420, BARRIO: BOCA  , JURISDICCIÓN COMISARIA:",4,AVENIDA,-58.4160215,-34.609482,SD,SD,False,2019-01-02 10:00:00
